Год,GPS №,Тип обработки,Глубина,повторность,"рН солевой вытяжки, ед. рН","рН водной вытяжки, ед. рН","Фосфор (подвижная форма), мг/кг","Калий (подвижная форма), млн-1","Общий азот, %","Общий углерод, %","М.д. содержания  гипса (по Хитрову), %","Массовая доля иона хлорида, ммоль/100 г","Массовая доля иона сульфата, ммоль/100 г","Массовая доля магния (водорастворимая форма), ммоль/100 г почвы","Массовая доля кальция (водорастворимая форма), ммоль/100 г почвы","Массовая доля натрия (водорастворимая форма), мг•экв на 100 г почвы","Массовая доля калия (водорастворимая форма), мг•экв на 100 г почвы","Сумма поглощенных оснований по Каппену, ммоль/100 г","Массовая доля плотного остатка водной вытяжки, %","Карбонат и бикарбонат-ионы, ммоль/100 г","Массовая доля общего содержания карбонатов (по Козловскому), % (CO2)","Массовая доля общего содержания карбонатов (по Козловскому), %(CaCO3)","Органический углерод, %"
2021,586,ПП,90-110,[0],7.22,7.99,10.6,334.006456,0.16,1.7029,1.7133333333333336,0.1365,0.4166666666666667,0.1423375,0.2997574999999999,0.0001668304999999,0.0003418155,24.900000000000002,0.1363333333333353,0.00915,1.914,4.352436,1.1809
2021,586,ПП,110-130,[0],7.32,8.37,9.8,288.30261599999994,0.13,1.5112,1.5813333333333337,0.1819999999999999,0.3888888888888889,0.1315749999999999,0.303595,0.000141726,0.00023096775,24.85,0.1125000000000042,0.0122,2.6619999999999995,6.053387999999999,0.7852000000000002
2021,586,ПП,130-150,[0],7.32,8.43,8.2,214.930856,0.1,1.5331,1.9080000000000004,0.1819999999999999,1.916666666666667,0.1383125,0.2661825,0.0002163495,0.0001704885,24.900000000000002,0.6060000000000798,0.01525,3.41,7.754339999999999,0.6030999999999999
2021,586,ПП,150-170,[0],7.36,8.34,7.6,227.348912,0.07,1.6106,1.964,0.1819999999999999,0.75,0.1367708333333333,0.2797075,0.000175053,0.00017586075,24.85,0.2813333333332934,0.01525,3.498,7.954452,0.6566000000000001
2021,586,ПП,170-190,[0],7.34,7.9,7.399999999999999,203.651784,0.07,1.5715,1.9733333333333336,0.2729999999999999,0.5555555555555556,0.1460604166666667,0.251345,0.000214544,0.0001677195,24.95,0.166499999999985,0.0122,4.576,10.405824,0.3235000000000001
2021,586,ПП,0-10,[1],7.25,7.99,19.2,560.9604559999999,0.15,1.465,2.632,0.364,0.7222222222222223,0.0947125,0.2263074999999999,0.0001846554999999,0.00098074275,24.900000000000002,0.3613333333332965,0.01525,1.2979999999999996,2.951652,1.1110000000000002
2021,586,ПП,10-20,[1],7.12,7.91,16.4,573.554296,0.15,1.4825,1.0413333333333334,0.2275,0.5277777777777778,,,,,,,0.0183,1.4519999999999995,3.301847999999999,1.0865
2021,586,ПП,20-30,[1],7.26,8.21,16.4,512.776376,0.13,1.3316,1.1719999999999997,0.2729999999999999,0.5833333333333334,0.0947541666666666,0.2251575,8.164999999999999e-05,0.0008153632499999,24.900000000000002,0.2045000000000029,0.0122,1.3419999999999996,3.051707999999999,0.9656
2021,586,ПП,0-10,[2],7.09,8.02,24.6,762.413736,0.19,1.9102,0.9813333333333336,0.0909999999999999,1.777777777777778,0.1076208333333333,0.2474075,0.0001561125,0.00151777275, ,0.450000000000017,0.01525,1.4959999999999998,3.401904,1.5022
2021,586,ПП,10-20,[2],7.2,8.28,16.2,549.6428559999999,0.14,1.3641,1.3093333333333332,0.4095,0.5,0.1320291666666667,0.23157,0.00015548,0.001041451125,24.87,0.1818000000000239,0.0122,1.5399999999999996,3.501959999999999,0.9441000000000002
2021,586,ПП,20-30,[2],7.22,8.0,13.999999999999998,456.01981599999993,0.13,1.2467,1.048,0.2275,0.3888888888888889,0.134075,0.2844575,4.602300000000001e-05,0.0007631909999999,,0.1406666666666467,0.01525,1.4299999999999995,3.2518199999999995,0.8567
2021,586,ПП,0-10,[3],7.2,8.02,35.2,780.738616,0.2,2.0082,1.5826666666666669,0.3185,0.3611111111111111,0.0948583333333333,0.2113325,0.0001231189999999,0.00144240525,24.985,0.11099999999999,0.01525,1.3859999999999997,3.151763999999999,1.6302
2021,586,ПП,10-20,[3],7.19,8.31,17.4,568.015896,0.15,1.3836,1.3039999999999998,0.2275,0.6111111111111112,0.1349708333333333,0.2156575,5.0346999999999984e-05,0.00102159525,24.900000000000002,0.2709999999999724,0.01525,1.4739999999999998,3.3518759999999994,0.9816
2021,586,ПП,20-30,[3],7.19,8.17,17.4,517.086696,0.14,1.4229,1.048,0.2275,0.3888888888888889,0.0903291666666666,0.211745,0.0001141144999999,0.00087489675,24.85,0.1363333333333353,0.0122,1.5179999999999998,3.451932,1.0089000000000001
2021,586,ПП,0-10,[4],7.04,7.78,23.0,761.4023759999999,0.23,2.1606,1.2966666666666666,0.25025,0.763888888888889,0.1163520833333333,0.2300137499999999,0.00014053575,0.0013292565,24.900000000000002,0.2726666666666706,0.0183,1.485,3.3768900000000004,1.7556
2021,586,ПП,10-20,[4],7.25,8.24,12.2,543.7673359999999,0.15,1.499,1.0133333333333334,0.364,1.1111111111111112,0.1027166666666666,0.2335574999999999,9.77155e-05,0.00096153525,24.85,0.3375000000000128,0.01525,1.584,3.602016,1.0670000000000002
2021,586,ПП,20-30,[4],7.2,8.31,16.0,577.7442159999999,0.22,2.099,1.0466666666666669,0.1819999999999999,0.4166666666666667,0.1033583333333333,0.25327,4.434400000000001e-05,0.00102530025,,0.1212000000000159,0.01525,1.364,3.101736,1.727
2020,525,ПП,0-10,[0],7.33,8.45,7.482159394236531,459.78352,0.34,1.4947,1.6649799999999813,0.0,9.666666666666668,0.2,0.8,0.0371434782608695,0.07895,22.7,0.5671,0.6500000000000001,1.1,,1.1946999999999999
2020,525,ПП,10-20,[0],7.3,8.43,6.321839080459769,375.72024,0.26,1.3616,2.721919999999966,0.0,0.8333333333333334,0.0,0.8,0.0335891304347826,0.048251282051282,24.2,0.108,0.7,1.5840000000000007,,0.9295999999999998
2020,525,ПП,20-30,[0],7.31,8.45,4.351395730706075,371.96376,0.23,1.3721,4.221849999999993,0.0,0.6666666666666667,1.35,0.7,0.0324478260869565,0.0397025641025641,24.4,0.109,0.6500000000000001,1.2759999999999994,,1.0241000000000002
2020,525,ПП,30-40,[0],7.32,8.46,4.351395730706075,257.63192000000004,0.17,1.7961,1.9144766666666595,0.0,0.4444444444444445,0.4,0.55,0.03705,0.0210692307692307,24.700000000000003,0.088,0.6,1.8040000000000007,,1.3040999999999998
2020,525,ПП,40-50,[0],7.33,8.5,6.321839080459769,225.728328,0.11,1.8826,7.081516666666672,0.0,1.027777777777778,0.2,0.65,0.0452195652173913,0.0152410256410256,24.71698113207547,0.1221,0.75,2.3759999999999994,,1.2346000000000004
2020,525,ПП,50-60,[0],7.33,8.54,5.829228243021345,198.741872,0.11,1.8085,8.937630000000054,0.0,5.0,0.8500000000000001,0.75,0.0458478260869565,0.0168423076923076,24.528301886792455,0.352,0.8,2.6663999999999994,,1.0813000000000001
2020,525,ПП,60-70,[0],7.42,8.56,7.307060755336616,194.21724,0.09,1.7636,4.41499333333334,0.0,2.7222222222222223,0.5,0.5,0.0467782608695652,0.011626923076923,23.9,0.2109,0.6500000000000001,2.6840000000000006,,1.0316
2020,525,ПП,70-80,[0],7.41,8.58,7.79967159277504,198.253048,0.09,1.7728,6.1539633333333015,0.0,3.055555555555556,0.5,0.475,0.0575434782608695,0.0194615384615384,23.9,0.2268,0.8,2.1559999999999997,,1.1848
